Page,,Amount,Taxes,Cost Total,,,Value,Cost,Paid,Remaining,Pending,Payment
1,Main Level - Bedroom,,,,,,,,,,,
1,FURNITURE,,,,,,,,,,,
1,FULL:,,,,,,,,,,,
1,"COVERAGE B - PERSONAL PROPERTY - FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
1,|. Mattress / Boxspring set - Full,,$1885,,,,,,$0100,520194,,$0.00
1,sheet se - Full 2.00,EA $60100,92.83,$283,,,$50126,,$0.00,$1257,,$0.00
1,"3, set - Bed, pe.","$1,375.00",,,,,,,$0.00,,,$0.00
1,amazon,,,,,,,,,,,
1,,iB,,,,,,,,,,
1,OpOCF,,,,,feature seven,,,id=373293,dth=,,
1,4. Nightstand,LOOEA $150.00,$7.07,$157.07,yf Avg. 20 y,$7.85,$149.22,,$0.00,$7.85,,$0.00
1,"5, Dresser / Chest of drawers 100",EA $360.00,$16.96,$376.96 I,yf Avg. 20 y,518.85,$358.11,,$0.00,$18.85,,$0.00
1,6. Bookcase / Bookshelf,$159.00,$1.49,$166.49 I,Avg.,8.32,$158.17,,$0.00,$8.32,,$0.00
1,7. Desk,$50.00,$2.36,$52.36 I,yf Avg. 20 y,,49.74,,$0.00,§2.62,,$0.00
1,8. Chair - Computer / Task,$50.0,$236,$52.36 |,yf Avg.,$5.24,47.12,,§0.00,$5.24,,$0.00
1,"9, Wastebasket / garbage / trash can 1.00",EA $34.0,$1.60,$35.60,Avg.,510.68,92492,,$0.00,$10.68,,$0.00
1,CURTAINS/DRAPES,,,,,,,,,,,
1,{0. Curtains / drapes,$30.00,,,Ave Oy,,925.13,,$0.00,$6.28,,$0.00
1,LINENS,,,,,,,,,,,
1,Blanket - Throw ‘MOEA,$39.0,S184,$40.84 yl,Ave.,,$32.67,,$0.00,$8.17,,$0.00
1,Pillow,$120.0,$5.65,$125.65,Avg.,937.10,$87.95,,$0.00,$37.70,,50.00
1,,|,,,,,,,,,,
1,Orig. - Pillow,,,,,,,,,,,
1,"13. TV - LCD/LED-LCD 30-39 in, 1.00",EA $699.00,$32.94,$731.94,Avg.,$146.39,$85.55,,$0.00,$146.39,,$0.00
1,14. Surge protector,$30.00,,S314l,Oy,,{21.99,,$0.00,,,$0.00
1,15. Portable A'C,$250.00,$11.78,$261.78 Syl,Avg.,,$130.89,,$0.00,$130.89,,$0.00
1,Ong. Desc. - Window air conditioner/beater,,,,,,,,,,,
1,16. Bench Couch,$600.00,928.27,$628.27,Ave,439.79,$188.48,,$0.0,$439.79,,$0.00
1,The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
1,* amount is part of current payment,,,,,,,,,,,
1,© indicates depreciation is non-recoverable,,,,,,,,,,,
2,,,,,,,,,—,,,
2,,Estimate,,Replacement,,Less,Actual Cash,,,Estimated,,
2,,Amount,Taxes,Cost Total,e/Cond./Life,Depreciation,Value,Cost w/Tax,Paid,Remaining Pending,Payment,
2,17. Apple Watch,$319.0,$15.03,$334.03 |,yf Avg.,$33.40,$300.63,,$0.00,$33.40,$0.00,
2,Body Pillow 200EA,$32.00,$1.51,$33.51,Syf Avg. Oy,$10.05,$3.46,,$0.0,$10.05,$0.00,
2,19. Wedge Pillow,$42.00,$1.58,$43.98,2yf Oy,$8.80,$35.18,,$0.00,$8.80,$0.00,
2,Orig. Desc. - Wedge,,,,,,,,,,,
2,20. Non-perishable paper / plastic 2.00 EA,$60.00,$283,$6283,Avg.,,$62.83,,$0.00,$0.00,$0.0,
2,products - Enter price,,,,,,,,,,,
2,Case of Toilet Paper,,,,,,,,,,,
2,,,,,|,,,,,,,
2,21. Hula Implements 8.00 EA,$280.00,$13.19,§293.19,Syl Avg,$146.0,$146.59,,$0.00,$146.60,50.0,
2,MEN'S UNDERGARMENTS AND SLEEPWEAR,,,,,,,,,,,
2,22. Underwear / Boxers - Men's,$21.00,$0.99,$21.99,By,$73,$14.66,,$0.00,$133,$0.00,
2,"23, - Men's tank lop - 1.00 EA",$10.00,,$10.47,Avg. By,,$9.16,,$0.00,$131,$0.00,
2,Standard grade,,,,,,,,,,,
2,"24, Thermals - Men's 1.00 EA",$33.00,$1.55,$34.55,Avg. By,$27.4,$651,,$0.00,27.64,$0.00,
2,25. Socks - 6 Men's 1.00 EA,$13.00,$0.61,,y/ Ave. By,S151,,,$0.00,,$0.00,
2,26. oi + Men's Slippers / Slipper 1.00 EA,$30.00,,$31.41,Avg. By,520.4,$10.47,,$0.00,00.94,$0.00,
2,SoC,,,,,,,,,,,
2,27. Sleepwear / Pajamas - Men's 1.00 EA,$17.00,$0.80,$17.80,By,,$3.56,,$0.00,$14.24,$0.00,
2,28. Robe -,$53.00,$2.50,$55.50,Ave By,,,,$0.00,$44.40,$0.00,
2,MENS CLOTHING,,,,,,,,,,,
2,"29, Shorts - Men's 1.00 EA",$26.00,$1.23,,Avg. By,$3.40,$23.83,,$0.00,$3.40,$0.00,
2,30. Swimwear / Bathing suit - Men's,$38.00,$1.79,$39.79,Avg. By,,$29.84,,$0.00,§9.95,$0.00,
2,,|,,,,,,,,,,
2,31. Sweatpants Men's,,$1.55,$34.55,yl Ave By,$8.64,$25.91,,$0.00,$8.64,$0.00,
2,32. Menswear - Men's jeans,. $60.00,$2.83,$6233,Ay/ Ave. By,$31.42,,,$0.00,$31.42,$0.00,
2,"33, Pants - Men's - Casual ion EA",$45.0,$2.12,47.12,Ave By,S118,$35.34,,$0.00,,$0.00,
2,44. Menswear - Men's cargo pants 1.00 EA,$50.00,$2.36,$52.36,By,519.64,932.72,,$0.00,$19.64,$0.00,
2,35. Menswear - Men's khaki / Chinos,$50.00,$2.36,$52.36,Ave By,$19.4,92.72,,$0.00,$19.64,$0.00,
2,36. Snowboard / Ski pants - Men's,$130.00,$6.13,$136.13,Tyf Ave By,5108.90,92723,,$0.00,$108.90,$0.0,
2,37. Pants - Men's - Dress,$56.00,92.64,$58.64,Ave By,921.9,$36.65,,$0.00,$21.99,$0.00,
2,38. Menswear - Men's tee shirt 1.00 EA,$20.00,$0.94,$20.4,Avg By,$5.24,$15.70,,$0.00,$5.24,$0.00,
2,39. Shirt - Men's - Casual,$24.00,$1.13,$25.13,8 yf Avg. By,,$5.03,,$0.00,$20.10,$0.00,
2,40. Menswear - Men's henley,$35.00,$1.65,$36.65,2 yl Avg. By,$9.16,97.49,,$0.00,$9.16,$0.00,
2,Shirt - Men's - Jersey,$100.00,,$104.71,By,$13.09,,,50.0,$13.09,80.0,
2,* The amount of RC Benefits remaining and/or paid is subject,to policy limitations.,,,,,,,,,,
2,* amount is part of current payment,,,,,,,,,,,
2,indicates depreciation is non-recoverable,,,,,,,,,,,
2,5154K577],,,,,,,,,Page:3,,
3,Deseription,,Estimate,,Replacement,,Less,Actual Cash,,,Estimated,
3,,,Amount,Tates,Cost Tots!,e/Cond./Life,,Value,Cost wTax,Paid,Remining Pending,Payment
3,"42, Menswear - Men's polo",,$30.00,$2.36,$52.36,By,$6.55,4531,,$0.00,$6.55,$0.00
3,43. Menswear - Men's button down shirt,,$50.0,$2.36,$5236,Avg. By,4.39,4797,,$0.00,$4.39,$0.00
3,"44, Sweatshirt « Men's","1,00 EA",$51.00,$2.40,$53.40,Avg. By,$13.35,$40.05,,$0.00,$13.38,$0.00
3,45. Sweater - Men's,1.00 EA,$45.00,$2.12,$47.12,Avp. By,$23.56,$23.56,,$0.00,$23.56,$0.00
3,"46, Shirt - Men's - Dress",,$38.00,$1.79,$39.79,dy! Ave. By,,,,$0.00,$9.95,$0.0
3,coat - Men's -,1.00 EA,588.00,$4.15,$92.15,By,$57.59,$34.56,,$0.00,$57.59,$0.0
3,48. Jacket / Coat - Men's - Leather,1.00 EA,$180.00,$8.48,$188.48,Tyl Avg. By,$150.78,$37.70,,$0.00,$150.78,$0.00
3,49. Jacket / Coat - Men's - Dress,1.00 EA,$166.00,$7.82,$173.82,Avge. By,$65.18,$108.64,,$0.00,$65.18,$0.00
3,50. Jacket / Coat - Men's - Fur,,,$79.68,"$1,770.68",,,$354.14,,$0.00,"$1,416.54",$0.00
3,PY 9723/2024,,,,,,,,,,,
